ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
b0baa850303c3309cc3d34df9a8d5bb1,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,186526,,,
32e1a953583e4cebdd959d4a32b577ef,image.jpg,,image/jpeg,media/image.jpg,,,101330,,,
8aacfbd8c46a5d1412f93315759dcd03,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,210454,,,
fdd478debec0ee46abda86dd750621f6,Thieberger2006_a-grammar-of-South-Efate.pdf,,application/pdf,media/Thieberger2006_a-grammar-of-South-Efate.pdf,,,23543787,,,
kori_mp3,mc_nafsan_kori.mp3,,audio/mpeg,media/mc_nafsan_kori.mp3,,,6557360,409.80898,kori,
kori_wav,mc_nafsan_kori.wav,,audio/x-wav,media/mc_nafsan_kori.wav,,,72285020,409.77877551020407,kori,
kori_eaf,mc_nafsan_kori.eaf,,application/eaf+xml,media/mc_nafsan_kori.eaf,,,1325109,,kori,
kori_xml,mc_nafsan_kori.xml,,application/xml,media/mc_nafsan_kori.xml,,,448946,,kori,
kori_tsv,mc_nafsan_kori.tsv,,text/tab-separated-values,media/mc_nafsan_kori.tsv,,,76573,,kori,
lelep_mp3,mc_nafsan_lelep.mp3,,audio/mpeg,media/mc_nafsan_lelep.mp3,,,3341164,208.796735,lelep,
lelep_wav,mc_nafsan_lelep.wav,,audio/x-wav,media/mc_nafsan_lelep.wav,,,36823544,208.75,lelep,
lelep_eaf,mc_nafsan_lelep.eaf,,application/eaf+xml,media/mc_nafsan_lelep.eaf,,,603142,,lelep,
lelep_xml,mc_nafsan_lelep.xml,,application/xml,media/mc_nafsan_lelep.xml,,,205884,,lelep,
lelep_tsv,mc_nafsan_lelep.tsv,,text/tab-separated-values,media/mc_nafsan_lelep.tsv,,,35627,,lelep,
lisau_mp3,mc_nafsan_lisau.mp3,,audio/mpeg,media/mc_nafsan_lisau.mp3,,,2628962,164.284082,lisau,
lisau_wav,mc_nafsan_lisau.wav,,audio/x-wav,media/mc_nafsan_lisau.wav,,,28971980,164.24,lisau,
lisau_eaf,mc_nafsan_lisau.eaf,,application/eaf+xml,media/mc_nafsan_lisau.eaf,,,323828,,lisau,
lisau_xml,mc_nafsan_lisau.xml,,application/xml,media/mc_nafsan_lisau.xml,,,110745,,lisau,
lisau_tsv,mc_nafsan_lisau.tsv,,text/tab-separated-values,media/mc_nafsan_lisau.tsv,,,18922,,lisau,
litog_mp3,mc_nafsan_litog.mp3,,audio/mpeg,media/mc_nafsan_litog.mp3,,,3401768,212.58449,litog,
litog_wav,mc_nafsan_litog.wav,,audio/x-wav,media/mc_nafsan_litog.wav,,,37494040,212.5509977324263,litog,
litog_eaf,mc_nafsan_litog.eaf,,application/eaf+xml,media/mc_nafsan_litog.eaf,,,453478,,litog,
litog_xml,mc_nafsan_litog.xml,,application/xml,media/mc_nafsan_litog.xml,,,155034,,litog,
litog_tsv,mc_nafsan_litog.tsv,,text/tab-separated-values,media/mc_nafsan_litog.tsv,,,26081,,litog,
maal_mp3,mc_nafsan_maal.mp3,,audio/mpeg,media/mc_nafsan_maal.mp3,,,3031457,189.44,maal,
maal_wav,mc_nafsan_maal.wav,,audio/x-wav,media/mc_nafsan_maal.wav,,,33408440,189.39,maal,
maal_eaf,mc_nafsan_maal.eaf,,application/eaf+xml,media/mc_nafsan_maal.eaf,,,269353,,maal,
maal_xml,mc_nafsan_maal.xml,,application/xml,media/mc_nafsan_maal.xml,,,91575,,maal,
maal_tsv,mc_nafsan_maal.tsv,,text/tab-separated-values,media/mc_nafsan_maal.tsv,,,15342,,maal,
nmatu_mp3,mc_nafsan_nmatu.mp3,,audio/mpeg,media/mc_nafsan_nmatu.mp3,,,4092237,255.738776,nmatu,
nmatu_wav,mc_nafsan_nmatu.wav,,audio/x-wav,media/mc_nafsan_nmatu.wav,,,45107464,255.7109977324263,nmatu,
nmatu_eaf,mc_nafsan_nmatu.eaf,,application/eaf+xml,media/mc_nafsan_nmatu.eaf,,,467404,,nmatu,
nmatu_xml,mc_nafsan_nmatu.xml,,application/xml,media/mc_nafsan_nmatu.xml,,,159433,,nmatu,
nmatu_tsv,mc_nafsan_nmatu.tsv,,text/tab-separated-values,media/mc_nafsan_nmatu.tsv,,,27225,,nmatu,
ntwam_mp3,mc_nafsan_ntwam.mp3,,audio/mpeg,media/mc_nafsan_ntwam.mp3,,,7378650,461.139592,ntwam,
ntwam_wav,mc_nafsan_ntwam.wav,,audio/x-wav,media/mc_nafsan_ntwam.wav,,,81338260,461.1009977324263,ntwam,
ntwam_eaf,mc_nafsan_ntwam.eaf,,application/eaf+xml,media/mc_nafsan_ntwam.eaf,,,894954,,ntwam,
ntwam_xml,mc_nafsan_ntwam.xml,,application/xml,media/mc_nafsan_ntwam.xml,,,305841,,ntwam,
ntwam_tsv,mc_nafsan_ntwam.tsv,,text/tab-separated-values,media/mc_nafsan_ntwam.tsv,,,52169,,ntwam,
taapes_mp3,mc_nafsan_taapes.mp3,,audio/mpeg,media/mc_nafsan_taapes.mp3,,,2077256,129.802449,taapes,
taapes_wav,mc_nafsan_taapes.wav,,audio/x-wav,media/mc_nafsan_taapes.wav,,,22891472,129.77,taapes,
taapes_eaf,mc_nafsan_taapes.eaf,,application/eaf+xml,media/mc_nafsan_taapes.eaf,,,321163,,taapes,
taapes_xml,mc_nafsan_taapes.xml,,application/xml,media/mc_nafsan_taapes.xml,,,110120,,taapes,
taapes_tsv,mc_nafsan_taapes.tsv,,text/tab-separated-values,media/mc_nafsan_taapes.tsv,,,19300,,taapes,
tafra_mp3,mc_nafsan_tafra.mp3,,audio/mpeg,media/mc_nafsan_tafra.mp3,,,4171231,260.675918,tafra,
tafra_wav,mc_nafsan_tafra.wav,,audio/x-wav,media/mc_nafsan_tafra.wav,,,45975528,260.6319954648526,tafra,
tafra_eaf,mc_nafsan_tafra.eaf,,application/eaf+xml,media/mc_nafsan_tafra.eaf,,,329127,,tafra,
tafra_xml,mc_nafsan_tafra.xml,,application/xml,media/mc_nafsan_tafra.xml,,,112399,,tafra,
tafra_tsv,mc_nafsan_tafra.tsv,,text/tab-separated-values,media/mc_nafsan_tafra.tsv,,,18976,,tafra,
